x1, x2, x3, x4, x5, y
-19, 17, -7, -46, -32, -627
30, 30, 21, -17, -31, 480
-1, -26, 9, 0, 48, -442
25, 0, -48, 48, 40, 261
-4, 30, -1, 10, -49, 585
12, -7, -12, -42, -1, -455
7, -25, 20, -37, 22, -481
-18, 49, 7, -14, -31, -302
16, 39, -12, 14, -7, 199
39, -45, 16, 36, 40, 898
43, -47, -42, 21, 19, 743
-48, -17, 48, 25, -30, 546
-13, -3, -28, -20, 17, -810
-4, 41, 14, 4, -10, -53
-3, -9, 32, 8, -7, 418
-43, 34, -9, 31, -22, -53
-25, 31, -19, 34, -2, -83
-50, -41, -13, 34, 24, -238
46, -17, -7, -35, 2, 145
-47, -12, 26, -21, -1, -682
19, 20, -1, 9, -43, 855
-3, 47, 34, -29, 0, -617
-3, 47, -28, 43, -11, 307
-12, 33, -5, -18, -13, -484
18, 19, 11, -38, -3, -356
-35, 25, -39, -4, -18, -617
36, -40, -27, 9, 17, 526
41, -38, -23, 22, -15, 1240
6, 18, -4, -49, -1, -773
17, -28, -38, -20, 34, -533
41, 49, 33, 3, -23, 738
-17, 17, -34, -34, 28, -1396
-41, -16, -17, 37, -50, 765
4, 31, -33, 34, 10, 56
-3, -38, 42, -4, -7, 491
47, -20, 48, -27, -20, 882
17, 16, 48, 0, -7, 463
-10, 11, -25, 39, 4, 213
5, 10, 36, -33, 4, -360
-26, -38, 23, 17, 25, -36
15, -26, -40, -38, 47, -1035
24, 15, -46, -49, -50, -42
45, 15, 26, 29, -30, 1481
-8, 25, -42, -46, -27, -785
45, -45, 41, -12, 7, 843
-11, -47, 36, -11, 20, -63
33, 17, -12, 2, 40, -264
28, -15, -40, 43, 17, 692
32, 21, -20, 14, -15, 605
-8, 0, -22, 41, 29, 11
-11, 21, -15, -5, 39, -970
5, 0, 24, -9, -10, 206
43, -48, 6, 42, -11, 1725
46, 37, 45, 25, 33, 493
49, 43, 23, 14, -23, 999
37, -28, -33, -15, 33, -159
1, 16, -31, 16, -26, 366
3, 46, 2, -44, 5, -987
25, 21, 1, 11, 42, -224
-11, 1, -22, -6, 12, -502
-39, -25, -4, 36, 44, -412
37, 8, 25, -38, -20, 276
34, 29, 44, 18, 26, 381
-7, -41, -4, 7, 10, 157
-31, 12, -39, -13, 37, -1379
-4, 45, 45, 26, -10, 404
28, 37, 26, -47, -27, -76
-8, -41, 14, -45, 25, -756
-33, -36, 42, -34, 32, -909
-47, 27, 32, -14, 30, -1254
-14, -43, 44, -19, -49, 756
-38, -4, 5, 8, -10, -165
47, -7, 27, 8, -19, 1197
41, -13, -28, -48, 25, -570
39, -35, -41, -49, -2, -144
-27, 5, -41, -16, 30, -1235
2, 25, -26, -33, 5, -828
35, -12, -2, -17, 8, 178
-21, 0, -39, -48, -43, -570
26, -48, -23, 11, -5, 810
20, -31, 23, -47, -22, 211
49, 13, -27, -19, -7, 240
-17, 21, 15, 41, 15, 128
25, -7, -17, 4, -47, 1023
-28, -22, 1, -20, 14, -685
-49, -43, -2, 36, -26, 574
32, 41, 9, -37, 41, -939
6, 32, 29, -8, -49, 581
-31, 35, 13, -8, 37, -1205
41, -18, -26, -42, -14, 111
38, 37, -31, -9, 35, -529
-39, 35, -38, 37, 16, -595
-42, 12, -29, 23, -19, -148
47, 37, -49, -43, 36, -1026
-9, -15, -47, 49, 9, 378
0, 8, -10, -29, -10, -385
42, 25, 3, -34, -24, 228
-9, -27, 4, -32, 9, -498
18, 45, 9, -26, 0, -410
-24, 14, 13, 28, -35, 581
